" to",20686
"i' ",19616
"' -",13539
"a' ",12716
"to ",12702
" mp",11945
"a t",11530
"na ",10768
" hi",9632
"mpo",9353
"-na",9164
"hi ",9094
"ai'",8744
"ala",8089
"pai",6701
"-ra",6590
"a m",6558
" pa",6410
"ata",6210
"u' ",6078
" ra",5902
"' t",5777
"ngk",5636
" ka",5610
"o m",5041
" ha",4970
" mo",4936
"a h",4700
"a, ",4666
"ra ",4647
"toe",4640
" na",4635
"ai ",4594
"li'",4549
"ta ",4480
"a'a",4393
"o' ",4351
"i t",4315
" ta",4224
"uli",4124
"apa",4073
"kai",3973
"' h",3961
"gka",3900
"la ",3900
" ng",3876
"uma",3692
"e' ",3691
"ta'",3687
" -n",3662
"a n",3628
"' m",3628
"mi ",3581
"'al",3551
"a-n",3531
"'ul",3403
"', ",3299
"' n",3293
"han",3137
"ma ",3120
"Ala",3120
"ang",3119
"ku'",3093
"lat",3091
" Al",3050
"ana",2974
" ma",2920
"nga",2887
"i h",2869
" um",2850
"-ta",2809
"ono",2801
"-mi",2800
"ia ",2780
"i, ",2733
" wo",2727
"aka",2719
"i m",2718
"na'",2714
"esu",2694
"i r",2685
"mpa",2684
"adi",2658
"po'",2634
"sus",2633
"koi",2632
"omp",2623
" -r",2582
"e, ",2577
"pa'",2557
" -k",2552
"a. ",2516
" ba",2514
"-ko",2498
"una",2484
" Ye",2471
" me",2443
"oli",2392
"aun",2385
"us ",2384
"Yes",2374
"ria",2332
"te ",2320
"tau",2317
"ilo",2308
"oto",2300
"a p",2283
"a k",2273
"a'u",2257
", p",2248
"ara",2168
"haw",2156
"o'o",2141
"mpe",2134
"oi ",2129
" po",2128
" bo",2127
"ma-",2086
"i n",2082
"o n",2079
"i p",2066
"' k",2021
"ant",2020
"a r",2018
"-ku",2004
" ri",1995
"uku",1992
"wa ",1977
"rat",1951
"ne ",1939
"di'",1933
"ewa",1933
"ita",1906
" an",1904
"i k",1903
"ue'",1895
"atu",1894
"oko",1877
"hil",1875
"la'",1863
", n",1840
"o'u",1825
"ea ",1822
", a",1815
"nap",1809
"a-k",1800
"oe ",1789
"ko'",1771
": """,1771
"wo'",1770
"o t",1766
" lo",1745
" ku",1742
" he",1739
"ona",1731
"nte",1724
"i',",1719
"ohe",1699
"na.",1683
"e'e",1652
"rap",1636
"ehi",1636
"a-r",1633
"bon",1628
", m",1625
"pi'",1619
"ral",1583
" nt",1579
" tu",1571
"u'u",1559
"pan",1559
"' p",1536
"ni ",1533
"o h",1528
"amo",1524
"ahi",1513
"mpu",1512
"ta-",1506
"ate",1501
" pe",1484
"u t",1474
"we'",1463
"lit",1462
"pot",1458
"oba",1457
"ka'",1454
"hew",1449
"o-n",1446
"pok",1444
"-i ",1441
"ama",1436
" do",1434
"ia'",1430
"na,",1427
"' r",1417
"aha",1408
"ku ",1397
"pop",1395
"Pue",1395
"pob",1387
"uwu",1382
"ali",1381
"kon",1371
"ane",1369
", b",1362
"'in",1361
"aga",1357
"oe,",1355
"i A",1345
"lol",1334
"mot",1327
"nca",1323
"u h",1320
" Pu",1317
"pe'",1317
" -i",1309
"'ea",1305
" ap",1298
"awe",1293
" te",1292
"non",1289
"-ni",1285
"e t",1264
"lou",1257
", t",1247
" To",1247
"a b",1240
"tuk",1237
"aa'",1231
"dua",1229
"ba ",1223
"au'",1219
"nto",1219
"tuw",1216
"o r",1215
"poh",1214
"o k",1214
" du",1213
"ga ",1210
", h",1208
"'. ",1208
"ulu",1207
"ni'",1203
"tan",1192
"' A",1192
"ua ",1191
" -t",1189
"no-",1180
"i. ",1168
"oro",1163
" no",1162
"' w",1155
"otu",1150
"kan",1147
"ra'",1146
"la-",1145
". A",1143
"wu'",1142
"' b",1140
"ura",1134
"lom",1133
"amp",1123
"toi",1118
"e m",1101
" ni",1098
"gal",1097
"pu'",1096
"inc",1090
"-ka",1087
"tom",1080
"eo'",1079
"ahu",1077
" la",1076
"ka ",1076
"jad",1071
"pa ",1071
"' Y",1066
"apo",1065
"adu",1054
"oha",1045
"rak",1041
" ja",1041
", k",1040
"abe",1037
"ako",1036
"a A",1036
"awa",1023
"di ",1014
" ko",1014
"nta",1013
"etu",1013
"ua'",1013
"-ha",1013
"mpi",1011
"to-",1005
", r",1005
"ope",998
"par",995
"ari",990
"epa",989
"olo",986
"aba",978
"bag",969
"mo ",968
"mor",968
" om",962
"ri'",958
"oa'",952
"asa",947
" Pa",945
"gko",943
"u m",933
"omo",932
"ngi",927
"u, ",926
"o-r",922
"uru",919
"a w",918
", u",917
"gau",916
"hi'",914
"a a",911
"ram",908
"bat",907
"kar",906
"e p",902
"o'i",900
"era",895
"': ",895
"ia-",894
"eni",886
"wo ",884
"opo",874
"' a",874
" Ka",874
"ou ",873
"e-n",872
"'o-",872
"ong",871
"ris",866
"o, ",866
"i b",860
"i':",854
"ori",854
" -m",850
"tu ",850
"ra,",845
" re",845
"a'.",843
"por",843
" Ma",840
"ntu",838
"hud",838
"-im",835
"kah",834
"awo",833
"udu",832
"top",831
"are",830
"u-n",828
"ra.",828
"imi",826
"i Y",824
"mat",824
"ani",822
"'u ",819
"o b",816
"ken",816
"s m",815
"wai",814
"oi'",813
"bab",811
"s, ",809
" Hi",806
"tus",805
"i-n",803
"pak",798
". T",793
"pal",792
"gat",788
" Ya",786
"ora",781
"beh",781
". N",780
"ema",777
"mon",772
"oka",772
"api",771
"gku",769
"ago",768
"nia",768
"opa",767
"o-k",766
"' l",758
"lau",757
"ing",757
" nc",755
"ina",753
"'u-",753
"man",752
"a-i",752
"ii'",752
"Aga",750
"had",749
"i: ",749
"mok",743
"anu",743
" ki",743
"ist",740
"ko ",739
"-ki",738
"pep",737
"i'.",736
"pon",736
"-a ",736
"i l",732
" An",731
" Kr",730
"eng",730
"Jad",728
"Kri",726
"kam",725
"epe",724
"rah",723
"-pi",721
"tar",719
"ui'",714
"a d",706
"'o ",706
"Apa",704
"a-m",704
"pet",702
"ome",701
"a',",701
"i-r",700
"i d",700
"o Y",697
"liu",696
"Ane",695
"ada",694
"a-t",692
"us,",691
"e'i",689
"kal",689
"udi",688
". H",688
"to'",687
"omi",687
"ham",684
"usa",683
"mep",683
"ohu",680
"Yah",679
"o l",678
"neo",678
"e h",677
"ha'",674
"u n",672
"stu",669
"' u",669
"pos",668
"rol",665
"la.",665
"lo ",664
" ne",662
"oei",661
" wa",658
"mak",655
"noa",655
"i-k",654
"ncu",651
"ima",651
"tud",650
"ea-",648
"e r",647
"' d",641
"oni",641
"kat",640
"ae-",638
"aa-",638
"mal",637
"Tom",636
"ale",635
"lia",633
"a: ",630
". P",630
"he'",629
"'ep",628
"a Y",626
"e n",624
"e w",622
"ili",622
"ga'",616
"i w",615
"a l",615
"sal",614
"mo'",612
"Na'",609
"-wa",606
"o p",606
"e k",606
"ra-",600
"pat",598
"ua-",598
"ai-",598
"sur",598
"wad",597
"i a",597
"uni",596
"bal",595
"oho",593
"i P",593
"tua",592
"dui",592
"ung",592
"eko",590
"agi",590
"a o",589
"dun",588
"nab",588
" be",587
"ma'",587
"ki'",586
"us.",585
"abi",580
"la,",580
"i'a",578
"oe-",575
"o d",574
"aku",572
"utu",572
" su",571
"a P",570
"mai",570
"o u",570
"ohi",569
" sa",569
"lii",567
"ki ",565
"a u",565
"hi-",564
"a'e",563
"eba",560
"doo",560
"pom",557
"'a ",557
"nu ",556
"Ngk",553
"u-m",552
"wor",552
" Na",548
" bu",545
"osa",543
"Pai",543
"gur",542
"Uma",540
"eka",539
"rus",539
"pue",538
"onc",538
"ne'",537
" ag",537
"nus",537
"tu'",536
"laa",533
". K",531
"ula",529
"aa ",528
"hae",528
"sia",527
"boh",525
"ae ",522
"ca ",521
"da'",520
"cul",519
" li",519
"i o",518
"ela",518
"' o",517
"bin",516
"' T",514
"kab",514
"oma",512
"usi",512
"oi-",511
"pi ",510
"tur",508
" da",508
"-nu",508
" ke",505
"aya",504
"Aku",504
" ro",503
" -a",498
"ton",495
"ihi",495
"ti ",495
"oer",494
"obi",490
"upa",490
"ree",490
"u-r",490
"sa ",486
"jek",486
"tum",486
"oi,",486
"lu'",485
"ta,",485
"no ",484
"uu'",483
"hin",483
"eli",483
"lai",482
"iu ",482
"Toe",481
" Ag",477
"ape",475
". M",475
"duu",473
"da ",471
"dea",471
"oru",471
"epu",471
"ta.",470
" Lo",469
"o-m",469
"nci",468
"aja",464
"pol",464
"he ",462
"e. ",460
"ent",459
"pen",459
"kup",457
"e l",456
"hem",453
"Mag",452
"ila",451
"alo",446
"ami",446
"nat",445
"a'i",444
"mol",444
"kak",443
"ine",440
"toh",440
"tet",439
"o-t",437
"oo-",436
"aru",435
"oti",434
"tob",433
" Ap",432
"ka-",432
" eo",432
" Ak",431
"a s",431
"s t",430
"wa'",430
" nu",429
"mea",429
"u k",429
"i-m",428
"-mo",426
"'ah",426
"ea'",424
"ode",424
"' P",424
"tol",424
"huk",423
"'a-",422
"owi",419
"o'e",416
"bel",413
"ota",412
"owa",411
"kor",409
"Hi'",409
"pa-",409
"a.""",408
"ore",408
" je",407
"emp",407
"lo-",406
" Pe",405
"tod",405
"ei ",405
"une",405
"a-p",404
"Kar",404
"s: ",403
"rum",402
"'ek",401
"e-m",401
" ti",400
"nya",400
"e',",400
"ira",400
"li ",398
"wua",398
"dok",397
"gke",397
"ru-",397
"uam",397
"kok",395
"mob",395
"wot",395
"not",394
"ngo",393
" we",393
"a-a",392
"tap",392
"lu ",390
"hur",390
"meh",389
"pe ",389
"hak",388
"ato",387
"rod",385
"bul",385
"us:",385
"-di",384
"u. ",383
"s. ",381
"kua",380
"doh",379
"uas",378
"kap",376
"au-",375
"a j",374
"Ana",373
"go ",373
"ipa",372
"s h",371
"hea",371
"reb",371
"ele",370
"oke",369
"Oti",369
"i s",368
"oe.",367
"moh",367
"Hi ",366
"u-i",366
"dad",366
"o. ",365
"tem",365
"i-i",364
"di,",364
"ee,",362
"di.",362
"u p",361
"sab",358
"o-i",357
"uki",357
"o w",357
"' j",356
"' s",355
"mi-",353
"gi ",352
"le ",352
"ras",352
"noh",351
"per",350
" Ta",348
" ow",346
"ump",346
" Tu",346
"oa ",345
"obo",344
"asi",343
"Nap",342
"wae",342
"u-k",342
"kit",342
"pek",341
"e'.",341
"naw",341
"ida",340
"apu",339
"oi.",339
"cai",338
" In",336
"hir",336
"i-h",336
"Ino",335
"eo ",335
"u'.",335
"idi",334
"teh",333
"e u",333
"lus",332
"a K",331
"int",331
" Ha",331
"ku.",330
"a'g",330
"'gu",330
"nip",329
"'ia",327
"a-h",327
"au ",326
" mu",325
"' M",323
"ui ",323
"aul",323
"peh",322
"sam",322
"bo'",322
"i K",322
"men",321
"oi:",320
"raw",320
"'uk",319
"roh",318
"kun",315
"o j",315
"ru ",314
"-i.",314
"i-e",312
"anc",311
"bar",309
"odo",309
": `",309
"a M",308
"ake",308
"ni-",307
". R",307
"a'o",305
" oa",305
" hu",304
"rug",302
"rab",301
"lil",301
"o P",301
"he-",301
"i j",298
"am ",297
"rim",297
"na-",296
"mel",296
"e-r",294
"ehu",293
"pel",293
"oa-",293
"a L",292
"pul",291
"u'a",290
"gia",290
" Ja",289
"tuj",289
" Um",288
"oe'",288
"ni,",288
"olu",287
"Tua",286
"aro",286
"ero",285
"u',",285
"po ",285
"ro ",285
"pay",284
" Ba",283
"uju",283
"pow",283
"Neo",282
"ku,",282
"gi-",281
"Pau",280
"i'i",279
"i'u",279
"Tau",279
"Pet",279
"mos",279
"ubu",278
"esa",277
"Ria",277
"oga",277
"dam",277
" At",276
"nce",276
"lo'",276
"eta",276
"ei,",275
"nak",275
" Bu",275
"kas",275
"keh",275
"-da",275
"ea.",274
"s p",273
"ile",273
"ou-",272
"ano",271
"uhi",271
"sa'",271
"Lom",271
"uda",270
"tu-",270
"Atu",270
"bah",270
"raa",270
"nau",269
" ga",269
"ju-",268
"-i,",268
"ka:",267
"lan",267
" al",267
"etr",267
", w",266
"mam",266
"awu",266
"uro",266
"te-",265
"iaa",265
"ren",264
"bi ",263
"tru",263
" Ra",262
"go-",262
"abo",262
"me'",262
"le'",261
"te'",261
"wi ",260
"goe",260
"lun",260
"tor",259
" ""H",259
"iwo",259
"e b",259
"eru",258
". J",258
" bi",258
" ny",258
" Mu",257
" Yo",256
"upo",256
"iba",256
"gam",255
"Wae",255
"nah",254
"ni.",254
" ak",254
" ""N",253
"ipo",253
"i-t",252
"hia",252
"a-d",252
"aki",250
"Nto",250
"ola",250
"itu",250
"but",250
"ku-",250
"ule",249
"li-",247
"lak",247
"bui",246
"len",246
", A",245
"io'",245
"i e",244
"pid",244
"'oh",243
"Tap",243
"yal",243
"ia,",242
"nam",242
"ia.",239
", d",239
"kuw",239
"a-w",239
"mar",238
"Mus",238
"mag",238
"kio",238
"tam",237
"Lol",237
"e-h",237
"gin",236
" ""A",235
"aju",235
"odu",235
"i M",234
"tin",234
"osi",234
"pew",234
"'.""",234
"unt",234
"-e,",234
"ika",234
"mul",233
"upe",233
"sua",232
" oh",231
"lin",231
"o',",231
"hub",229
"tul",229
" pu",228
"owo",228
"alu",227
"e'u",227
"pea",227
"i.""",226
"nes",226
"-i-",226
"ran",226
"lem",225
"ont",225
"mom",225
"tai",224
"Hia",223
". B",223
"ban",223
"ju ",223
"o A",222
"any",222
"i-a",222
"isa",220
"o'a",219
"eku",218
"mi.",218
"ea,",218
"mek",218
", Y",217
"ron",217
" Me",217
"ten",217
"obu",216
"iwi",216
"jan",216
"uga",216
"eto",215
"Yoh",214
"oki",214
"nco",214
"rua",213
" He",212
"Top",212
"iu-",212
"oja",212
"si ",211
"o'.",211
"-om",210
"sai",210
"uja",210
"ja ",210
" le",210
" -o",209
"a B",209
"'un",209
"bas",209
". U",208
"mi,",207
"poi",207
"ked",206
" Mo",206
"pu ",206
" Yu",205
"ini",205
"tah",205
"es ",204
"rar",204
"go'",204
" Sa",203
"eha",203
"o o",203
"aua",203
"uwo",202
"lel",202
"hii",202
"'ur",201
" Po",200
"Yer",200
"kaj",200
"e-k",200
"'i ",200
"ai,",199
"mow",199
"le-",199
"eno",199
"di-",198
"Haw",197
" wi",197
"u d",197
"."" ",196
"u a",195
" ul",195
" wu",195
"wi'",195
"' K",195
" Ng",194
"mas",194
"Kan",193
"e a",193
"ame",193
"pes",192
"u b",191
"'on",191
"e A",191
" ho",191
", l",191
"ae,",190
"wil",190
"-e?",189
"Kam",189
"asu",188
"e'a",188
". W",187
"kul",187
"uri",187
"To ",186
"tab",185
"naa",184
"kuj",184
"' g",184
"pah",184
"ko-",184
" pi",184
"na:",183
"bil",183
"tot",181
"i I",181
" Si",181
"osu",181
"ki:",180
"cil",180
"iwa",180
"o K",180
"-e.",179
"mes",179
"Buk",179
"ai.",179
"lea",178
"gki",178
"o-a",178
"aho",178
"nyo",178
"edi",177
"i T",177
"dup",176
"gan",176
"'i,",175
"Ha ",175
"wat",174
" -e",174
"rew",173
"o a",173
"pod",172
"and",172
"""An",172
"wa-",171
"ena",171
"awi",171
"Hem",171
"Han",171
"tid",171
" ah",171
"ui-",169
"tak",169
"nu'",169
"ro-",169
"sar",169
"-e ",168
"pe-",168
"ci ",168
"kaw",168
"e-i",167
"gi'",167
"po-",167
"imo",167
"u'i",167
" am",166
"eda",166
"wiw",165
"u w",165
"hoi",165
"til",164
"eki",163
"'a.",163
"niu",162
" ue",162
"pua",162
"onu",162
"doi",162
"ewu",161
"u T",161
"iko",161
"daa",160
"loi",160
"baj",160
"ngu",160
"a T",160
"uai",159
"iu'",159
"Par",159
"ati",159
"nai",159
"dai",159
"s K",157
" Ab",157
"nda",157
"si'",157
"u r",157
"aia",157
"mi'",156
"sa-",156
"eiw",156
"as ",155
"hor",155
"lih",155
"paj",155
"enc",155
"re-",155
"met",155
"u-t",155
"kaa",155
"bra",154
"iru",154
"isi",154
"a g",154
"Abr",153
"Bul",153
"ri ",153
"e-e",153
" -p",153
"ben",153
" Nt",152
"kag",152
"pae",152
"ewi",152
"mer",152
"ain",152
"re ",151
"Hil",151
" ""M",151
"Mpo",151
"iri",150
"uaa",150
" se",150
"-a,",150
"Mar",149
"kir",149
"no'",149
"Wor",149
"ole",149
"oo'",149
"-am",148
"ehe",147
"law",147
"pog",147
"yan",147
" ad",147
"hib",147
"inu",147
"uba",146
"poj",146
"ya ",145
"-a.",145
"nar",145
"noi",145
"kad",144
"i u",144
"pun",144
"ii ",144
"nup",144
"ino",144
"gaa",143
"nud",143
"au,",143
"kip",143
"kub",142
"-ng",142
"abu",142
"ca-",141
" ""T",141
"u.""",141
"sap",141
"one",141
", P",140
"' I",140
"hon",140
"'an",140
"i! ",140
"ja'",140
"m, ",139
"nih",139
"""Na",139
"' S",139
"hup",138
"'! ",138
" Is",137
"e K",137
"sid",137
"a i",136
" Ko",136
"-le",136
"toa",136
"ko,",135
"nit",135
"eho",135
"Rat",134
"ka.",134
"le,",134
"rad",134
" gu",133
"o-h",133
"ped",132
"tun",132
"Ra'",132
"Eo ",132
"u-a",132
"ne-",131
"nti",131
"ede",131
"saa",131
"a-e",131
"mah",130
"ma,",130
"no.",130
"'ew",130
"e o",130
"res",129
"'om",129
"Omp",129
"e? ",129
"Iko",129
"ti-",129
"ma.",129
"rik",129
" Ku",129
" Ti",128
" Ri",128
"amu",128
" ""P",128
"mo.",128
"woi",128
" ih",127
"dot",126
"a! ",126
"run",126
"us-",126
"kuh",126
"tad",125
"iap",124
"e?""",124
"wen",124
"ret",124
"tep",124
" Da",123
"u l",123
"pei",123
"mop",123
"i E",123
"' H",122
"opu",122
"lu-",121
"s n",121
" Mp",121
"kur",121
"nea",121
"'i-",120
" im",120
" Ki",120
"ue ",120
"Ka'",120
"tea",120
" Eo",120
"' B",120
"eo-",119
"mun",119
"ga-",119
"oku",119
"'ua",118
"ho'",118
"to.",118
" go",118
", o",118
"""Ha",117
"ei-",117
"i H",117
"'a,",117
"bei",117
"rae",116
"mog",116
"taa",116
"put",115
"Yud",115
"-a-",115
" Ga",115
"wu ",115
"e-t",115
" Wa",114
"ibo",114
"min",113
"o-w",113
"'um",113
"ahe",113
"reh",113
"mo,",113
"hi.",112
"ao'",112
"wo.",112
"to,",112
" ""K",111
"wi,",111
"""Hi",111
"rom",111
"!"" ",111
"lim",111
"sip",111
"-ma",111
" Ne",110
"ha ",110
"tat",110
"Kai",110
"tao",109
"e d",109
"kiw",109
" Bo",108
"lah",108
"set",108
"don",108
"boa",108
"ere",107
"ri-",107
"ulo",107
"woo",107
"da-",107
" ""U",107
"ke ",107
"Bat",106
"e'o",106
"iki",106
"ias",106
"dik",106
". O",105
" -w",105
"tib",105
"oo ",105
"ko.",105
"ius",105
"Hew",104
"gai",104
"oin",104
"o T",104
" at",104
", H",103
"ael",103
"ei.",103
"roe",103
"u-e",103
""" N",103
"o s",103
"pin",103
"kil",103
" in",103
" Wo",103
"Sim",102
"o-d",102
"o.""",102
"Man",101
"ipe",101
"bok",101
"wo,",101
"kol",101
"nu.",101
"nu,",101
"uak",101
"u A",100
"o S",100
"tuh",100
"Mak",100
"ce ",99
"dia",99
"ke'",99
" ik",99
"o I",98
"wi.",98
"'ot",98
"yoa",98
"eti",98
"pad",97
"mu ",97
"tu.",97
"ii-",97
"ga.",97
"-he",97
"a I",97
"-ap",96
"e-d",96
"kut",96
"ee ",96
"pit",96
"wul",95
"haa",95
"hu'",95
"bot",95
"Nau",95
"i i",95
"uea",95
"ber",95
"s Y",95
"ro'",94
"' i",94
"giu",94
"Boh",94
"u-d",93
"aud",93
" Be",93
"m p",93
"Gal",93
"wal",93
"""Um",93
"Gur",93
"no,",93
"el ",92
"Isr",92
"sra",92
"how",92
"ao ",92
"iti",92
"ceh",92
"mad",91
"""Ne",91
"oje",91
"Kah",90
"ipi",90
"i L",90
"ge'",90
"wuk",90
"uu-",89
" ol",89
" ot",89
"ti'",89
"wob",89
"ur ",89
"gi,",89
"dag",89
"Dau",88
"ra:",88
"Ima",88
"ei:",88
"hi,",88
"nal",88
"i g",88
" Ik",88
"oo,",88
"i!""",88
"ho ",88
"epo",88
"Pat",88
"med",87
"tui",87
"ka,",87
" Ot",87
"hok",87
" op",86
"Anu",86
"uwa",86
"imp",86
"nu-",86
"kui",86
"on ",85
"Kak",85
"moj",85
"ya-",85
"teb",85
"sum",85
"-- ",85
"Rap",85
"Yak",84
"sa,",84
"! N",84
"esi",84
"s r",84
"Ba ",84
"dah",84
"! A",84
"""Ma",84
"?"" ",84
" -d",84
"bi'",84
"bia",83
", M",83
"wan",83
"'i.",83
"Her",83
"ern",83
"ci-",83
"Bar",83
"bu ",82
"n, ",82
"! H",82
"tal",82
"koa",82
"elo",82
"'am",82
"mua",82
"cob",82
"e'!",81
"Agi",81
"re'",81
"ses",81
"ste",81
"em ",80
"'o,",80
"bua",80
"kae",80
"omu",79
"usu",79
" Im",79
"lei",79
"u e",79
"oda",79
": h",79
"i-w",79
"mo-",78
"uge",78
"nag",78
"nae",78
"nib",78
" Pi",78
"i'!",77
"hui",77
"rai",77
"a!""",77
"aeo",77
"uhu",77
"eri",77
"Kup",76
"-ip",76
"tim",76
"low",76
"nan",76
"""He",76
"yaa",76
" Ro",76
"du ",76
"ilu",75
"Koi",75
"'u.",75
"wit",74
"rna",74
"tu,",74
"kow",74
"na!",74
"Nta",74
"huw",74
". L",74
"i'e",74
" Gu",74
"Pil",74
"naj",73
"lik",73
"sak",73
"kay",73
"ce-",73
"ete",73
"Mes",72
"i-p",72
"obe",72
"u-l",72
"ngg",72
" ""B",72
"m B",72
"unc",71
"ony",71
" El",71
"e Y",71
"des",71
"au.",71
"mew",71
"peb",71
"wun",71
"unu",71
"e! ",71
"dae",71
"e.""",71
"nik",71
"s b",71
"'e ",71
"do ",70
"Nat",70
"hom",70
"sor",70
"ker",70
"ei'",70
" -h",70
"mil",70
"uto",70
"u! ",70
"'ol",70
"Ku'",70
"nur",70
"Tim",70
" mi",69
"' G",69
" Ni",69
"hum",69
"n t",69
"oo.",69
"win",69
"! K",69
"ggu",69
"lip",69
"Yus",68
"ua,",68
"a S",68
"uka",68
"jaa",68
"ee-",68
"'e,",68
"e-a",68
"i B",67
"tut",67
"wi-",67
"ojo",67
": n",67
"-e'",67
"loa",67
"tiu",67
"'u,",67
"wer",67
"kuk",67
"kia",66
"wao",66
"! P",66
"a.'",66
"bo ",66
"tow",66
"rot",66
"u o",66
"as,",65
"Eli",65
"suf",65
"te.",65
"say",65
"lib",65
"rea",65
"e P",65
"ipu",65
"-e!",65
"ba'",65
"am,",64
"m t",64
"r t",64
"lon",64
"gu ",64
"aiw",64
" Fi",64
"Sam",64
"log",64
"pih",64
"u'e",64
"m m",63
"r, ",63
"! M",63
"Kon",63
"cuu",63
"ga,",63
"owe",63
" Bi",63
"ube",63
"nas",62
" si",62
"bim",62
"hoo",62
"a e",62
"e j",62
"o M",62
"be-",62
"sa.",61
"Had",61
"e: ",61
"'or",61
"rui",61
"o!""",61
"ais",61
"rnu",61
"' D",60
"khi",60
"em,",60
"em.",60
"oiw",60
"""Ta",60
"e-p",60
"waa",60
"ae.",60
"'!""",60
"ua.",60
"gol",60
"ru,",60
"jag",60
" -l",60
"san",60
"ude",59
"'eo",59
"a H",59
"u-w",59
"u: ",59
"das",59
"kus",59
"sis",59
"o'w",59
"'wi",59
"Sil",59
", g",59
"hal",59
"ibu",59
"al ",59
"bea",58
"aza",58
"Poh",58
"gak",58
"koo",58
"cor",58
"aa,",58
"Fil",58
"car",58
"caw",58
"zar",57
"cam",57
"bi-",57
".'""",57
"i-d",57
"nei",57
"owu",57
"ki-",57
"nut",57
"pem",57
"Kay",57
"oi!",56
"dul",56
"Rom",56
" ""G",56
"""Gu",56
"edo",56
"hoa",56
"? H",55
"geo",55
"i S",55
"cal",55
"las",55
": A",54
"gi.",54
"' L",54
"rop",54
"ki.",54
"Kit",54
"""Pu",54
"eo,",54
"pil",54
", s",54
"imu",54
" so",54
"en ",54
"aso",53
"bet",53
"u-p",53
"dan",53
" Te",53
"But",53
"lu,",53
"m. ",53
"Tan",53
"Pel",53
"ko!",53
" ""O",53
"rag",53
"Ant",53
"arn",53
"s k",52
"s T",52
"ene",52
"bus",52
"Hir",52
"lo,",52
": k",52
"gar",52
"luu",52
"ese",52
"cua",52
"ji'",52
"'i:",52
"okh",52
"ud ",51
"-mu",51
"bis",51
"Ham",51
"ska",51
"i G",51
"tio",51
"taw",50
"l, ",50
"umu",50
"rei",50
"pa,",50
"u u",50
"he,",50
"ho-",50
"uke",50
"! T",50
" lu",50
"web",50
"e s",50
"jar",50
"ha-",50
"u Y",49
"Bab",49
"du-",49
"raj",49
".' ",49
": m",49
"""Ak",49
"opi",49
"Kat",49
"Ni'",49
"yai",49
"""To",49
"oii",49
"Ral",49
"i?""",49
"te,",49
"a? ",49
"l t",49
"hei",48
"o-e",48
"sir",48
"""Ka",48
"kob",48
"mod",48
"aa.",48
"tip",48
"mej",48
"Mel",48
"bu'",48
"Nah",47
"'.'",47
" di",47
"Mpu",47
": a",47
"yar",47
"hiw",47
"""Pe",47
"pia",47
"i? ",47
"-li",47
"pus",47
"aji",47
"ne,",47
"mu'",47
"-i:",47
"Moh",47
"'o.",46
": H",46
"o! ",46
"Ban",46
"bay",46
"pu-",46
"lal",46
"""Tu",46
"Kor",46
"ger",46
"do'",46
"'at",46
"as.",46
"yes",46
"Mat",45
". S",45
"la!",45
"uu ",45
"nii",45
"Mai",45
"din",45
"he.",45
"nub",45
"Tum",45
"ou'",45
"tag",45
"Sab",45
", i",45
"gaj",45
"aye",45
"Gub",45
"Toi",44
". Y",44
"o: ",44
", I",44
"nad",44
"Mo'",44
"-id",44
" `N",44
"mik",44
"i.'",44
"lis",44
"Nab",44
